calculator_id,ru_url,en_url,uk_url,parity_status,reason,hreflang_allowed,switcher_behavior
credit-calculator,/ru/finance/credit-calculator/,/en/finance/loan-calculator/,/uk/finansy/kalkulyator-kredytu/,full-parity,"Equivalent localized calculator exists in RU, EN and UK.",ru|en|uk|x-default,Each language links to the equivalent calculator page.
deposit-calculator,/ru/finance/deposit-calculator/,,,ru-only,Калькулятор использует российские условия вкладов и рублёвую модель результата.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
compound-interest,/ru/finance/compound-interest/,/en/finance/compound-interest-calculator/,/uk/finansy/kalkulyator-skladnyh-vidsotkiv/,full-parity,"Equivalent localized calculator exists in RU, EN and UK.",ru|en|uk|x-default,Each language links to the equivalent calculator page.
mortgage-calculator,/ru/finance/mortgage-calculator/,/en/finance/mortgage-calculator/,/uk/finansy/ipotechnyi-kalkulyator/,full-parity,"Equivalent localized calculator exists in RU, EN and UK.",ru|en|uk|x-default,Each language links to the equivalent calculator page.
income-tax-calculator,/ru/finance/income-tax-calculator/,,,ru-only,Калькулятор реализует российскую шкалу НДФЛ и относится к налоговым правилам РФ.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
vat-calculator,/ru/finance/vat-calculator/,,,ru-only,Калькулятор использует ставки и правила НДС Российской Федерации.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
percent-calculator,/ru/finance/percent-calculator/,/en/finance/percentage-calculator/,/uk/finansy/kalkulyator-vidsotkiv/,full-parity,"Equivalent localized calculator exists in RU, EN and UK.",ru|en|uk|x-default,Each language links to the equivalent calculator page.
discount-calculator,/ru/finance/discount-calculator/,/en/finance/discount-calculator/,/uk/finansy/kalkulyator-znyzhky/,full-parity,"Equivalent localized calculator exists in RU, EN and UK.",ru|en|uk|x-default,Each language links to the equivalent calculator page.
margin-calculator,/ru/finance/margin-calculator/,/en/finance/margin-calculator/,/uk/finansy/kalkulyator-marzhi/,full-parity,"Equivalent localized calculator exists in RU, EN and UK.",ru|en|uk|x-default,Each language links to the equivalent calculator page.
break-even-calculator,/ru/finance/break-even-calculator/,/en/finance/break-even-calculator/,/uk/finansy/kalkulyator-bezzbytkovosti/,full-parity,"Equivalent localized calculator exists in RU, EN and UK.",ru|en|uk|x-default,Each language links to the equivalent calculator page.
currency-converter,/ru/currency/currency-converter/,/en/currency/currency-converter/,/uk/valyuty/konverter-valyut/,full-parity,"Equivalent localized calculator exists in RU, EN and UK.",ru|en|uk|x-default,Each language links to the equivalent calculator page.
usd-to-eur,/ru/currency/usd-to-eur/,/en/currency/usd-to-eur/,/uk/valyuty/usd-v-eur/,full-parity,"Equivalent localized calculator exists in RU, EN and UK.",ru|en|uk|x-default,Each language links to the equivalent calculator page.
eur-to-mdl,/ru/currency/eur-to-mdl/,/en/currency/eur-to-mdl/,/uk/valyuty/eur-v-mdl/,full-parity,"Equivalent localized calculator exists in RU, EN and UK.",ru|en|uk|x-default,Each language links to the equivalent calculator page.
usd-to-mdl,/ru/currency/usd-to-mdl/,/en/currency/usd-to-mdl/,/uk/valyuty/usd-v-mdl/,full-parity,"Equivalent localized calculator exists in RU, EN and UK.",ru|en|uk|x-default,Each language links to the equivalent calculator page.
bmi-calculator,/ru/sport/bmi-calculator/,/en/fitness/bmi-calculator/,/uk/fitness/kalkulyator-bmi/,full-parity,"Equivalent localized calculator exists in RU, EN and UK.",ru|en|uk|x-default,Each language links to the equivalent calculator page.
calorie-calculator,/ru/sport/calorie-calculator/,/en/fitness/calorie-calculator/,/uk/fitness/kalkulyator-kaloriy/,full-parity,"Equivalent localized calculator exists in RU, EN and UK.",ru|en|uk|x-default,Each language links to the equivalent calculator page.
